category,item,price,min_price,max_price
Transportation,Taxi Start (Normal Tariff),3.06 $,2.55,5.09
Transportation,Taxi 1 mile (Normal Tariff),4.21 $,2.55,4.92
Transportation,Taxi 1hour Waiting (Normal Tariff),10.00 $,7.64,20.37
Transportation,Gasoline (1 gallon),4.71 $,4.59,5.01
Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,468.03 $","22,921.23","28,014.83"
Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"21,901.23 $","19,355.70","22,411.87"
Transportation,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",108.05 $,77.93,163.00
Transportation,Mobile Phone Monthly Plan with Calls and 10GB+ Data,22.26 $,10.19,25.47
Transportation,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",30.43 $,20.37,40.75
Transportation,"Fitness Club, Monthly Fee for 1 Adult",23.74 $,20.32,25.47
Transportation,Tennis Court Rent (1 Hour on Weekend),18.93 $,4.58,20.37
Transportation,"Cinema, International Release, 1 Seat",4.58 $,4.07,10.00
Transportation,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",185.92 $,152.81,382.02
Transportation,"International Primary School, Yearly for 1 Child","5,042.67 $","2,750.55","7,334.79"
Transportation,1 Pair of Jeans (Levis 501 Or Similar),49.23 $,25.47,66.22
Transportation,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",36.41 $,25.00,50.94
Transportation,1 Pair of Nike Running Shoes (Mid-Range),81.19 $,50.94,101.87
Transportation,1 Pair of Men Leather Business Shoes,97.16 $,50.94,150.00
Transportation,Apartment (1 bedroom) in City Centre,715.69 $,356.55,"1,273.40"
Transportation,Apartment (1 bedroom) Outside of Centre,394.75 $,152.81,865.91
Transportation,Apartment (3 bedrooms) in City Centre,"1,100.49 $",764.04,"1,629.95"
Transportation,Apartment (3 bedrooms) Outside of Centre,894.21 $,662.17,"1,273.40"
Transportation,Price per Square Feet to Buy Apartment in City Centre,108.84 $,104.11,113.57
Transportation,Price per Square Feet to Buy Apartment Outside of Centre,136.70 $,94.64,189.28
Transportation,Average Monthly Net Salary (After Tax),671.72 $,N/A,N/A
