category,item,price,min_price,max_price
Markets,Taxi Start (Normal Tariff),3.43 $,3.09,4.80
Markets,Taxi 1 mile (Normal Tariff),4.86 $,4.33,6.07
Markets,Taxi 1hour Waiting (Normal Tariff),25.99 $,20.58,34.30
Markets,Gasoline (1 gallon),4.67 $,4.41,5.19
Markets,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,923.39 $","18,519.79","23,396.67"
Markets,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"17,234.84 $","15,776.12","19,205.71"
Markets,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",184.97 $,124.94,315.52
Markets,Mobile Phone Monthly Plan with Calls and 10GB+ Data,26.51 $,13.72,48.01
Markets,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.43 $,27.44,44.58
Markets,"Fitness Club, Monthly Fee for 1 Adult",68.78 $,28.81,102.89
Markets,Tennis Court Rent (1 Hour on Weekend),20.40 $,8.92,27.44
Markets,"Cinema, International Release, 1 Seat",12.69 $,10.97,15.09
Markets,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",558.65 $,259.96,982.74
Markets,"International Primary School, Yearly for 1 Child","14,973.69 $","9,254.72","26,064.89"
Markets,1 Pair of Jeans (Levis 501 Or Similar),54.48 $,20.58,82.31
Markets,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.65 $,17.08,54.87
Markets,1 Pair of Nike Running Shoes (Mid-Range),65.11 $,34.30,89.17
Markets,1 Pair of Men Leather Business Shoes,87.29 $,34.30,137.18
Markets,Apartment (1 bedroom) in City Centre,"1,185.87 $",685.92,"1,714.80"
Markets,Apartment (1 bedroom) Outside of Centre,618.64 $,445.85,"1,097.47"
Markets,Apartment (3 bedrooms) in City Centre,"2,969.72 $","1,714.80","4,458.47"
Markets,Apartment (3 bedrooms) Outside of Centre,"1,297.08 $",823.10,"2,057.75"
Markets,Price per Square Feet to Buy Apartment in City Centre,965.68 $,637.23,"1,911.70"
Markets,Price per Square Feet to Buy Apartment Outside of Centre,497.46 $,356.72,700.96
Markets,Average Monthly Net Salary (After Tax),"2,535.76 $",N/A,N/A
Markets,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.86,1.00,2.58
Transportation,"Meal, Inexpensive Restaurant",6.86 $,4.80,10.29
Transportation,"Meal for 2 People, Mid-range Restaurant, Three-course",48.01 $,34.30,144.04
Transportation,McMeal at McDonalds (or Equivalent Combo Meal),5.49 $,5.14,6.17
Transportation,Domestic Beer (1 pint draught),3.43 $,1.71,5.49
Transportation,Imported Beer (12 oz small bottle),4.80 $,2.40,6.86
Transportation,Cappuccino (regular),3.57 $,1.71,5.49
Transportation,Coke/Pepsi (12 oz small bottle),1.17 $,0.82,2.06
Transportation,Water (12 oz small bottle),0.77 $,0.69,1.27
Transportation,"Milk (regular), (1 gallon)",6.21 $,5.19,8.57
Transportation,Loaf of Fresh White Bread (1 lb),1.53 $,0.75,3.11
Transportation,"Rice (white), (1 lb)",1.78 $,0.93,3.11
Transportation,Eggs (regular) (12),2.24 $,1.11,3.29
Transportation,Local Cheese (1 lb),7.48 $,2.49,15.56
Transportation,Chicken Fillets (1 lb),3.39 $,1.87,4.67
Transportation,Beef Round (1 lb) (or Equivalent Back Leg Red Meat),10.00 $,4.36,21.78
Transportation,Apples (1 lb),2.28 $,1.37,4.67
Transportation,Banana (1 lb),1.14 $,0.62,1.87
Transportation,Oranges (1 lb),2.63 $,1.18,4.67
Transportation,Tomato (1 lb),2.35 $,0.93,4.67
Transportation,Potato (1 lb),1.28 $,0.75,1.85
Transportation,Onion (1 lb),1.29 $,0.69,1.87
Transportation,Lettuce (1 head),1.48 $,0.75,2.06
Transportation,Water (1.5 liter bottle),0.87 $,0.58,1.23
Transportation,Bottle of Wine (Mid-Range),7.89 $,4.80,17.15
Transportation,Domestic Beer (0.5 liter bottle),2.20 $,1.47,3.09
Transportation,Imported Beer (12 oz small bottle),2.98 $,1.71,3.77
Transportation,Cigarettes 20 Pack (Marlboro),4.12 $,3.77,4.46
Transportation,One-way Ticket (Local Transport),1.51 $,1.23,2.06
Transportation,Monthly Pass (Regular Price),54.87 $,30.18,121.20
Transportation,Taxi Start (Normal Tariff),3.43 $,3.09,4.80
Transportation,Taxi 1 mile (Normal Tariff),4.86 $,4.33,6.07
Transportation,Taxi 1hour Waiting (Normal Tariff),25.99 $,20.58,34.30
Transportation,Gasoline (1 gallon),4.67 $,4.41,5.19
Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,923.39 $","18,519.79","23,396.67"
Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"17,234.84 $","15,776.12","19,205.71"
Transportation,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",184.97 $,124.94,315.52
Transportation,Mobile Phone Monthly Plan with Calls and 10GB+ Data,26.51 $,13.72,48.01
Transportation,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.43 $,27.44,44.58
Transportation,"Fitness Club, Monthly Fee for 1 Adult",68.78 $,28.81,102.89
Transportation,Tennis Court Rent (1 Hour on Weekend),20.40 $,8.92,27.44
Transportation,"Cinema, International Release, 1 Seat",12.69 $,10.97,15.09
Transportation,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",558.65 $,259.96,982.74
Transportation,"International Primary School, Yearly for 1 Child","14,973.69 $","9,254.72","26,064.89"
Transportation,1 Pair of Jeans (Levis 501 Or Similar),54.48 $,20.58,82.31
Transportation,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.65 $,17.08,54.87
Transportation,1 Pair of Nike Running Shoes (Mid-Range),65.11 $,34.30,89.17
Transportation,1 Pair of Men Leather Business Shoes,87.29 $,34.30,137.18
Transportation,Apartment (1 bedroom) in City Centre,"1,185.87 $",685.92,"1,714.80"
Transportation,Apartment (1 bedroom) Outside of Centre,618.64 $,445.85,"1,097.47"
Transportation,Apartment (3 bedrooms) in City Centre,"2,969.72 $","1,714.80","4,458.47"
Transportation,Apartment (3 bedrooms) Outside of Centre,"1,297.08 $",823.10,"2,057.75"
Transportation,Price per Square Feet to Buy Apartment in City Centre,965.68 $,637.23,"1,911.70"
Transportation,Price per Square Feet to Buy Apartment Outside of Centre,497.46 $,356.72,700.96
Transportation,Average Monthly Net Salary (After Tax),"2,535.76 $",N/A,N/A
Transportation,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.86,1.00,2.58
 Utilities (Monthly),"Meal, Inexpensive Restaurant",6.86 $,4.80,10.29
 Utilities (Monthly),"Meal for 2 People, Mid-range Restaurant, Three-course",48.01 $,34.30,144.04
 Utilities (Monthly),McMeal at McDonalds (or Equivalent Combo Meal),5.49 $,5.14,6.17
 Utilities (Monthly),Domestic Beer (1 pint draught),3.43 $,1.71,5.49
 Utilities (Monthly),Imported Beer (12 oz small bottle),4.80 $,2.40,6.86
 Utilities (Monthly),Cappuccino (regular),3.57 $,1.71,5.49
 Utilities (Monthly),Coke/Pepsi (12 oz small bottle),1.17 $,0.82,2.06
 Utilities (Monthly),Water (12 oz small bottle),0.77 $,0.69,1.27
 Utilities (Monthly),"Milk (regular), (1 gallon)",6.21 $,5.19,8.57
 Utilities (Monthly),Loaf of Fresh White Bread (1 lb),1.53 $,0.75,3.11
 Utilities (Monthly),"Rice (white), (1 lb)",1.78 $,0.93,3.11
 Utilities (Monthly),Eggs (regular) (12),2.24 $,1.11,3.29
 Utilities (Monthly),Local Cheese (1 lb),7.48 $,2.49,15.56
 Utilities (Monthly),Chicken Fillets (1 lb),3.39 $,1.87,4.67
 Utilities (Monthly),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),10.00 $,4.36,21.78
 Utilities (Monthly),Apples (1 lb),2.28 $,1.37,4.67
 Utilities (Monthly),Banana (1 lb),1.14 $,0.62,1.87
 Utilities (Monthly),Oranges (1 lb),2.63 $,1.18,4.67
 Utilities (Monthly),Tomato (1 lb),2.35 $,0.93,4.67
 Utilities (Monthly),Potato (1 lb),1.28 $,0.75,1.85
 Utilities (Monthly),Onion (1 lb),1.29 $,0.69,1.87
 Utilities (Monthly),Lettuce (1 head),1.48 $,0.75,2.06
 Utilities (Monthly),Water (1.5 liter bottle),0.87 $,0.58,1.23
 Utilities (Monthly),Bottle of Wine (Mid-Range),7.89 $,4.80,17.15
 Utilities (Monthly),Domestic Beer (0.5 liter bottle),2.20 $,1.47,3.09
 Utilities (Monthly),Imported Beer (12 oz small bottle),2.98 $,1.71,3.77
 Utilities (Monthly),Cigarettes 20 Pack (Marlboro),4.12 $,3.77,4.46
 Utilities (Monthly),One-way Ticket (Local Transport),1.51 $,1.23,2.06
 Utilities (Monthly),Monthly Pass (Regular Price),54.87 $,30.18,121.20
 Utilities (Monthly),Taxi Start (Normal Tariff),3.43 $,3.09,4.80
 Utilities (Monthly),Taxi 1 mile (Normal Tariff),4.86 $,4.33,6.07
 Utilities (Monthly),Taxi 1hour Waiting (Normal Tariff),25.99 $,20.58,34.30
 Utilities (Monthly),Gasoline (1 gallon),4.67 $,4.41,5.19
 Utilities (Monthly),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,923.39 $","18,519.79","23,396.67"
 Utilities (Monthly),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"17,234.84 $","15,776.12","19,205.71"
 Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",184.97 $,124.94,315.52
 Utilities (Monthly),Mobile Phone Monthly Plan with Calls and 10GB+ Data,26.51 $,13.72,48.01
 Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.43 $,27.44,44.58
 Utilities (Monthly),"Fitness Club, Monthly Fee for 1 Adult",68.78 $,28.81,102.89
 Utilities (Monthly),Tennis Court Rent (1 Hour on Weekend),20.40 $,8.92,27.44
 Utilities (Monthly),"Cinema, International Release, 1 Seat",12.69 $,10.97,15.09
 Utilities (Monthly),"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",558.65 $,259.96,982.74
 Utilities (Monthly),"International Primary School, Yearly for 1 Child","14,973.69 $","9,254.72","26,064.89"
 Utilities (Monthly),1 Pair of Jeans (Levis 501 Or Similar),54.48 $,20.58,82.31
